"Mate","Cross","Mindex","Findex"
1,"R/W",19,3
1,"W/W",19,20
1,"W/W",19,16
1,"R/W",19,2
1,"R/W",20,4
1,"W/W",20,18
0,"W/W",20,16
1,"W/W",20,20
1,"R/W",20,5
1,"R/W",20,2
1,"R/R",21,21
0,"W/R",21,37
1,"R/R",21,23
1,"W/R",21,39
1,"W/R",21,36
0,"R/R",21,22
0,"R/R",22,24
0,"W/R",22,37
0,"W/R",22,40
1,"R/R",22,21
1,"R/R",22,22
0,"W/R",22,38
0,"W/R",23,36
0,"W/R",23,37
0,"W/R",23,40
0,"R/R",23,25
0,"R/R",23,23
0,"R/R",23,24
1,"R/R",24,24
1,"R/R",24,21
1,"W/R",24,36
1,"R/R",24,25
0,"W/R",24,38
1,"W/R",24,39
1,"R/R",25,23
1,"R/R",25,22
1,"W/R",25,39
1,"R/R",25,25
0,"W/R",25,38
1,"W/R",25,40
1,"W/W",26,33
1,"W/W",26,31
1,"R/W",26,26
1,"W/W",26,34
0,"R/W",26,27
0,"R/W",26,29
1,"W/W",27,34
0,"W/W",27,35
1,"R/W",27,27
1,"R/W",27,29
1,"W/W",27,31
1,"R/W",27,30
1,"R/W",28,28
1,"W/W",28,33
1,"W/W",28,32
1,"R/W",28,30
0,"R/W",28,26
0,"W/W",28,35
0,"W/W",29,34
1,"W/W",29,32
1,"R/W",29,29
1,"R/W",29,28
0,"W/W",29,31
1,"R/W",29,26
1,"W/W",30,33
0,"R/W",30,27
0,"W/W",30,35
0,"W/W",30,32
0,"R/W",30,30
0,"R/W",30,28
0,"W/R",31,32
0,"W/R",31,31
1,"R/R",31,27
0,"W/R",31,34
0,"R/R",31,28
1,"R/R",31,26
0,"W/R",32,32
0,"R/R",32,26
0,"W/R",32,33
0,"W/R",32,31
0,"R/R",32,30
1,"R/R",32,29
0,"R/R",33,26
0,"W/R",33,35
0,"W/R",33,33
1,"R/R",33,30
1,"W/R",33,34
1,"R/R",33,27
0,"W/R",34,35
0,"R/R",34,28
1,"R/R",34,29
0,"W/R",34,31
0,"R/R",34,30
0,"W/R",34,34
0,"W/R",35,32
0,"R/R",35,28
0,"W/R",35,35
1,"R/R",35,27
1,"R/R",35,29
0,"W/R",35,33
1,"W/W",36,37
0,"R/W",36,24
1,"R/W",36,22
1,"W/W",36,36
0,"W/W",36,38
0,"R/W",36,21
1,"W/W",37,37
0,"R/W",37,24
1,"W/W",37,39
1,"W/W",37,40
0,"R/W",37,21
1,"R/W",37,23
0,"W/W",38,37
1,"W/W",38,39
0,"R/W",38,21
1,"R/W",38,23
0,"W/W",38,38
0,"R/W",38,25
1,"W/W",39,39
0,"R/W",39,25
1,"R/W",39,23
1,"W/W",39,40
1,"W/W",39,36
0,"R/W",39,22
0,"R/W",40,24
0,"W/W",40,38
1,"W/W",40,36
1,"W/W",40,40
0,"R/W",40,25
1,"R/W",40,22
1,"R/R",41,41
0,"W/R",41,57
1,"R/R",41,43
0,"W/R",41,59
0,"W/R",41,56
0,"R/R",41,42
0,"R/R",42,44
0,"W/R",42,57
0,"W/R",42,60
1,"R/R",42,41
0,"R/R",42,42
0,"W/R",42,58
0,"W/R",43,56
0,"W/R",43,57
0,"W/R",43,60
1,"R/R",43,45
1,"R/R",43,43
1,"R/R",43,44
1,"R/R",44,44
1,"R/R",44,41
0,"W/R",44,56
1,"R/R",44,45
0,"W/R",44,58
0,"W/R",44,59
1,"R/R",45,43
0,"R/R",45,42
0,"W/R",45,59
0,"R/R",45,45
0,"W/R",45,58
0,"W/R",45,60
0,"W/W",46,53
0,"W/W",46,51
0,"R/W",46,46
0,"W/W",46,54
0,"R/W",46,47
1,"R/W",46,49
0,"W/W",47,54
1,"W/W",47,55
0,"R/W",47,47
1,"R/W",47,49
1,"W/W",47,51
1,"R/W",47,50
1,"R/W",48,48
1,"W/W",48,53
1,"W/W",48,52
1,"R/W",48,50
1,"R/W",48,46
1,"W/W",48,55
1,"W/W",49,54
1,"W/W",49,52
0,"R/W",49,49
1,"R/W",49,48
1,"W/W",49,51
1,"R/W",49,46
0,"W/W",50,53
0,"R/W",50,47
1,"W/W",50,55
1,"W/W",50,52
0,"R/W",50,50
1,"R/W",50,48
0,"W/R",51,52
0,"W/R",51,51
0,"R/R",51,47
0,"W/R",51,54
0,"R/R",51,48
1,"R/R",51,46
0,"W/R",52,52
1,"R/R",52,46
0,"W/R",52,53
0,"W/R",52,51
1,"R/R",52,50
0,"R/R",52,49
1,"R/R",53,46
0,"W/R",53,55
1,"W/R",53,53
1,"R/R",53,50
1,"W/R",53,54
1,"R/R",53,47
1,"W/R",54,55
1,"R/R",54,48
1,"R/R",54,49
0,"W/R",54,51
1,"R/R",54,50
1,"W/R",54,54
0,"W/R",55,52
1,"R/R",55,48
0,"W/R",55,55
0,"R/R",55,47
0,"R/R",55,49
1,"W/R",55,53
1,"W/W",56,57
1,"R/W",56,44
0,"R/W",56,42
0,"W/W",56,56
1,"W/W",56,58
1,"R/W",56,41
1,"W/W",57,57
0,"R/W",57,44
1,"W/W",57,59
1,"W/W",57,60
1,"R/W",57,41
0,"R/W",57,43
0,"W/W",58,57
0,"W/W",58,59
0,"R/W",58,41
1,"R/W",58,43
0,"W/W",58,58
0,"R/W",58,45
1,"W/W",59,59
1,"R/W",59,45
1,"R/W",59,43
1,"W/W",59,60
1,"W/W",59,56
1,"R/W",59,42
0,"R/W",60,44
1,"W/W",60,58
0,"W/W",60,56
0,"W/W",60,60
0,"R/W",60,45
0,"R/W",60,42
1,"R/R",61,61
1,"W/R",61,64
1,"R/R",61,62
1,"W/R",61,63
0,"W/R",61,66
1,"R/R",61,65
1,"R/R",65,67
1,"W/R",65,64
0,"W/R",65,68
1,"R/R",65,61
1,"R/R",65,65
0,"W/R",65,70
0,"W/R",62,66
0,"W/R",62,64
0,"W/R",62,68
1,"R/R",62,69
1,"R/R",62,62
1,"R/R",62,67
1,"R/R",64,67
1,"R/R",64,61
0,"W/R",64,66
1,"R/R",64,69
0,"W/R",64,70
0,"W/R",64,63
1,"R/R",63,62
1,"R/R",63,65
1,"W/R",63,63
1,"R/R",63,69
0,"W/R",63,70
1,"W/R",63,68
0,"W/W",79,75
1,"W/W",79,78
1,"R/W",79,79
1,"W/W",79,80
0,"R/W",79,74
1,"R/W",79,72
1,"W/W",78,80
1,"W/W",78,71
0,"R/W",78,74
1,"R/W",78,72
1,"W/W",78,78
1,"R/W",78,77
0,"R/W",76,73
1,"W/W",76,75
0,"W/W",76,76
1,"R/W",76,77
1,"R/W",76,79
0,"W/W",76,71
1,"W/W",80,80
0,"W/W",80,76
0,"R/W",80,72
1,"R/W",80,73
1,"W/W",80,78
1,"R/W",80,79
0,"W/W",77,75
0,"R/W",77,74
0,"W/W",77,71
1,"W/W",77,76
0,"R/W",77,77
0,"R/W",77,73
0,"W/R",69,76
0,"W/R",69,78
1,"R/R",69,74
0,"W/R",69,80
1,"R/R",69,73
1,"R/R",69,79
0,"W/R",67,76
0,"R/R",67,79
0,"W/R",67,75
1,"W/R",67,78
0,"R/R",67,77
0,"R/R",67,72
1,"R/R",68,79
0,"W/R",68,71
0,"W/R",68,75
0,"R/R",68,77
1,"W/R",68,80
0,"R/R",68,74
0,"W/R",70,71
0,"R/R",70,73
1,"R/R",70,72
0,"W/R",70,78
0,"R/R",70,77
0,"W/R",70,80
0,"W/R",66,76
1,"R/R",66,73
0,"W/R",66,71
0,"R/R",66,74
1,"R/R",66,72
0,"W/R",66,75
1,"W/W",75,64
0,"R/W",75,67
1,"R/W",75,65
0,"W/W",75,66
1,"W/W",75,70
1,"R/W",75,61
1,"W/W",74,64
1,"R/W",74,67
1,"W/W",74,63
0,"W/W",74,68
1,"R/W",74,61
1,"R/W",74,62
1,"W/W",71,64
1,"W/W",71,63
0,"R/W",71,61
0,"R/W",71,62
1,"W/W",71,70
1,"R/W",71,69
1,"W/W",73,63
1,"R/W",73,69
1,"R/W",73,62
1,"W/W",73,68
1,"W/W",73,66
1,"R/W",73,65
1,"R/W",72,67
1,"W/W",72,70
0,"W/W",72,66
1,"W/W",72,68
1,"R/W",72,69
1,"R/W",72,65
1,"R/R",81,81
0,"W/R",81,84
1,"R/R",81,82
1,"W/R",81,83
1,"W/R",81,86
0,"R/R",81,85
0,"R/R",85,87
0,"W/R",85,84
0,"W/R",85,88
1,"R/R",85,81
1,"R/R",85,85
0,"W/R",85,90
0,"W/R",82,86
0,"W/R",82,84
0,"W/R",82,88
0,"R/R",82,89
0,"R/R",82,82
0,"R/R",82,87
1,"R/R",84,87
1,"R/R",84,81
1,"W/R",84,86
1,"R/R",84,89
0,"W/R",84,90
1,"W/R",84,83
1,"R/R",83,82
1,"R/R",83,85
1,"W/R",83,83
1,"R/R",83,89
0,"W/R",83,90
1,"W/R",83,88
1,"W/W",99,95
1,"W/W",99,98
1,"R/W",99,99
1,"W/W",99,100
0,"R/W",99,94
0,"R/W",99,92
1,"W/W",98,100
0,"W/W",98,91
1,"R/W",98,94
1,"R/W",98,92
1,"W/W",98,98
1,"R/W",98,97
1,"R/W",96,93
1,"W/W",96,95
1,"W/W",96,96
1,"R/W",96,97
0,"R/W",96,99
0,"W/W",96,91
0,"W/W",100,100
1,"W/W",100,96
1,"R/W",100,92
1,"R/W",100,93
0,"W/W",100,98
1,"R/W",100,99
1,"W/W",97,95
0,"R/W",97,94
0,"W/W",97,91
0,"W/W",97,96
0,"R/W",97,97
0,"R/W",97,93
0,"W/R",89,96
0,"W/R",89,98
1,"R/R",89,94
0,"W/R",89,100
0,"R/R",89,93
1,"R/R",89,99
0,"W/R",87,96
0,"R/R",87,99
0,"W/R",87,95
0,"W/R",87,98
0,"R/R",87,97
1,"R/R",87,92
0,"R/R",88,99
0,"W/R",88,91
0,"W/R",88,95
1,"R/R",88,97
1,"W/R",88,100
1,"R/R",88,94
0,"W/R",90,91
0,"R/R",90,93
1,"R/R",90,92
0,"W/R",90,98
0,"R/R",90,97
0,"W/R",90,100
0,"W/R",86,96
0,"R/R",86,93
0,"W/R",86,91
1,"R/R",86,94
1,"R/R",86,92
0,"W/R",86,95
1,"W/W",95,84
0,"R/W",95,87
1,"R/W",95,85
1,"W/W",95,86
0,"W/W",95,90
0,"R/W",95,81
1,"W/W",94,84
0,"R/W",94,87
1,"W/W",94,83
1,"W/W",94,88
0,"R/W",94,81
1,"R/W",94,82
0,"W/W",91,84
1,"W/W",91,83
0,"R/W",91,81
1,"R/W",91,82
0,"W/W",91,90
0,"R/W",91,89
1,"W/W",93,83
0,"R/W",93,89
1,"R/W",93,82
1,"W/W",93,88
1,"W/W",93,86
0,"R/W",93,85
0,"R/W",92,87
0,"W/W",92,90
1,"W/W",92,86
1,"W/W",92,88
0,"R/W",92,89
1,"R/W",92,85
1,"R/R",101,101
0,"W/R",101,104
1,"R/R",101,102
0,"W/R",101,103
0,"W/R",101,106
0,"R/R",101,105
0,"R/R",105,107
0,"W/R",105,104
0,"W/R",105,108
1,"R/R",105,101
0,"R/R",105,105
0,"W/R",105,110
0,"W/R",102,106
0,"W/R",102,104
0,"W/R",102,108
1,"R/R",102,109
1,"R/R",102,102
1,"R/R",102,107
1,"R/R",104,107
1,"R/R",104,101
0,"W/R",104,106
1,"R/R",104,109
0,"W/R",104,110
0,"W/R",104,103
1,"R/R",103,102
0,"R/R",103,105
0,"W/R",103,103
0,"R/R",103,109
0,"W/R",103,110
0,"W/R",103,108
0,"W/W",119,115
0,"W/W",119,118
0,"R/W",119,119
0,"W/W",119,120
0,"R/W",119,114
1,"R/W",119,112
0,"W/W",118,120
1,"W/W",118,111
0,"R/W",118,114
1,"R/W",118,112
1,"W/W",118,118
1,"R/W",118,117
1,"R/W",116,113
1,"W/W",116,115
1,"W/W",116,116
1,"R/W",116,117
1,"R/W",116,119
1,"W/W",116,111
1,"W/W",120,120
1,"W/W",120,116
0,"R/W",120,112
1,"R/W",120,113
1,"W/W",120,118
1,"R/W",120,119
0,"W/W",117,115
0,"R/W",117,114
1,"W/W",117,111
1,"W/W",117,116
0,"R/W",117,117
1,"R/W",117,113
0,"W/R",109,116
0,"W/R",109,118
0,"R/R",109,114
0,"W/R",109,120
0,"R/R",109,113
1,"R/R",109,119
0,"W/R",107,116
1,"R/R",107,119
0,"W/R",107,115
0,"W/R",107,118
1,"R/R",107,117
0,"R/R",107,112
1,"R/R",108,119
0,"W/R",108,111
1,"W/R",108,115
1,"R/R",108,117
1,"W/R",108,120
1,"R/R",108,114
1,"W/R",110,111
1,"R/R",110,113
1,"R/R",110,112
0,"W/R",110,118
1,"R/R",110,117
1,"W/R",110,120
0,"W/R",106,116
1,"R/R",106,113
0,"W/R",106,111
0,"R/R",106,114
0,"R/R",106,112
1,"W/R",106,115
1,"W/W",115,104
1,"R/W",115,107
0,"R/W",115,105
0,"W/W",115,106
1,"W/W",115,110
1,"R/W",115,101
1,"W/W",114,104
0,"R/W",114,107
1,"W/W",114,103
1,"W/W",114,108
1,"R/W",114,101
0,"R/W",114,102
0,"W/W",111,104
0,"W/W",111,103
0,"R/W",111,101
1,"R/W",111,102
0,"W/W",111,110
0,"R/W",111,109
1,"W/W",113,103
1,"R/W",113,109
1,"R/W",113,102
1,"W/W",113,108
1,"W/W",113,106
1,"R/W",113,105
0,"R/W",112,107
1,"W/W",112,110
0,"W/W",112,106
0,"W/W",112,108
0,"R/W",112,109
0,"R/W",112,105
